호선,역명,역주소
1,서울역,서울특별시 중구 세종대로 지하 2 (남대문로 5가)
1,시청,서울특별시 중구 세종대로 지하 101 (정동)
1,종각,서울특별시 종로구 종로 지하 55 (종로1가)
1,종로3가,서울특별시 종로구 종로 지하 129 (종로3가)
1,종로5가,서울특별시 종로구 종로 지하 216  (종로5가)
1,동대문,서울특별시 종로구 종로 지하 302 (창신동)
1,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동)
1,제기동,서울특별시 동대문구 왕산로 지하 93 (제기동)
1,청량리,서울특별시 동대문구 왕산로 지하 205(전농동)
1,동묘앞,서울특별시 종로구 종로 359 (숭인동)
